"","year","wgr","masters_finish","total_score","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_putt","sg_t2g","sg_total","points_gained","m_cut","top_25","new_score","m_play"
"102",2012,14,50,295,15,7,1,69.639,68,18.71,58.84,315.5,4.51,69.95,2724.667,29.73,56.58,-0.28,1.809,1.529,38.19,"1","0",295,"1"
"103",2013,12,1,280,33,3,0,70.276,76,24.4,58.73,303.7,4.61,69.41,2911.5,29.85,54.48,-0.096,1.164,1.069,131.223,"1","1",280,"1"
"104",2014,3,38,289,7,8,2,69.712,76,24.28,60.47,314.3,4.58,67.96,3129.083,28.99,59.14,-0.05,1.402,1.352,64.97,"1","0",289,"1"
"105",2015,4,37,297,11,10,2,69.296,71,28.24,56.55,315.2,4.47,69.32,2872.333,28.96,61.89,0.212,1.876,2.088,120.209,"1","0",297,"1"
"106",2016,19,99,152,24,4,1,70.333,72,23.35,55.11,310.6,4.53,69.16,2616.917,29.78,52.74,-0.367,1.359,0.992,16.196,"0","0",312,"1"
"107",2017,19,5,279,117,4,0,71.175,71,21.84,59.58,305.6,4.62,63.02,3086.25,29.28,55.67,-0.171,0.287,0.116,150.093,"1","1",279,"1"
"108",2017,45,5,279,61,4,1,70.909,86,21.58,56.26,292.6,4.63,63.14,3666.333,28.52,58.64,0.084,0.418,0.502,39.747,"1","1",279,"0"
"109",2014,92,38,289,63,3,0,70.63,111,21.45,63.87,282.9,4.63,66.77,4760.5,29.17,59.34,0.107,0.56,0.668,13.038,"1","0",289,"0"
"110",2006,94,99,165,63,4,0,70.749,95,22.46,58.06,302.1,4.67,65.29,4215.333,29.29,56.45,-0.278,0.922,0.545,0,"0","0",325,"0"
"111",2007,60,99,150,49,6,0,70.163,82,16.94,60.23,298.3,4.72,65.72,3454.25,29.38,57.31,0.046,0.903,0.949,17.796,"0","0",310,"1"
"112",2008,8,13,282,8,7,2,69.49,79,22.58,58.15,293.3,4.54,64.6,2999.667,28.97,53.52,0.088,1.166,1.254,46.283,"1","1",282,"1"
"113",2009,12,38,294,41,4,0,70.29,76,20.93,61.31,293,4.62,66.67,2658.083,29.34,56.85,-0.203,1.028,0.825,104.58,"1","0",294,"1"
"114",2010,50,49,294,95,7,1,70.425,78,16.5,61.66,289.6,4.72,66.05,2652.417,29.43,57.5,-0.396,1.087,0.691,6.24,"1","0",294,"1"
"115",2014,128,99,148,48,1,1,70.716,95,19.32,59.95,292.5,4.72,66.96,3795.583,29.21,56.64,0,0.316,0.315,16.636,"0","0",308,"1"
"116",2005,45,27,292,45,3,1,70.877,109,20.74,60.82,291.7,4.62,66.08,4670,28.92,61.47,0.055,0.338,0.394,45.05,"1","0",292,"0"
"117",2006,45,52,307,104,6,1,70.654,95,24.14,61.01,286.6,4.66,62.31,4304.25,28.84,58.95,0.361,0.427,0.701,19.15,"1","0",307,"1"
"118",2008,77,99,154,49,5,1,70.245,110,16.93,59.87,286,4.69,63.54,4917.167,28.8,59,0.534,0.22,0.754,10.65,"0","0",314,"1"
"119",2010,101,99,148,57,4,1,70.552,99,20.16,62.82,282.1,4.78,63.8,3865.583,28.24,62.06,0.818,-0.263,0.554,16.706,"0","0",308,"1"
"120",2012,35,61,304,28,6,1,70.013,92,19.33,57.63,297.1,4.66,63.89,4008.25,28.46,60.37,0.444,0.424,0.867,20.018,"1","0",304,"1"
"121",2005,20,3,284,59,5,0,70.295,95,15.23,61.57,294,4.7,68.54,3694.917,29.65,55.66,0.165,0.529,0.694,101.68,"1","1",284,"0"
"122",2006,30,99,154,52,5,1,70.585,91,19.43,59.77,290.9,4.67,67.43,3072,29.51,57.84,-0.086,0.497,0.311,33.03,"0","0",314,"1"
"123",2008,73,2,276,6,7,0,70.04,94,14.86,65.68,289.9,4.64,68.44,3766.5,29.5,54.68,0.169,0.732,0.901,11.347,"1","1",276,"1"
"124",2009,71,45,298,27,3,0,70.43,90,21.17,63.5,291,4.68,69.19,2912.25,29.3,59.75,0.03,0.572,0.602,13.87,"1","0",298,"1"
"125",2011,8,50,296,43,3,1,69.619,58,18.67,61.73,297,4.7,65.97,2136.583,29.25,59.77,0.052,0.898,0.95,48.25,"1","0",296,"0"
"126",2012,15,25,290,72,2,0,70.281,56,22.15,61.41,295.8,4.73,62.65,1766.667,28.74,58.95,0.084,0.84,0.925,58.299,"1","1",290,"1"
"127",2013,17,99,149,28,5,0,69.651,69,22.92,59.87,296.1,4.58,65.85,2620.75,29.01,55.02,0.301,0.967,1.268,30.957,"0","0",309,"1"
"128",2014,36,38,289,11,5,0,69.671,64,21.43,59.45,297.8,4.52,63.53,2899.667,28.34,61.67,0.055,1.286,1.341,33.113,"1","0",289,"1"
"129",2015,21,99,152,118,3,0,71.093,67,24.1,60.81,300.4,4.64,64.99,2264.583,29.57,54.66,-0.555,0.629,0.073,82.842,"0","0",312,"1"
"130",2016,29,3,282,30,5,1,70.004,73,19.37,56.86,296.7,4.66,68.73,2598.833,29.34,59.64,-0.137,1.18,1.043,18.506,"1","1",282,"1"
"131",2017,58,99,150,67,3,0,70.211,63,23.6,53.59,298.4,4.58,61.69,2684.583,28.45,60.5,0.22,0.583,0.803,8.193,"0","0",310,"1"
"132",2005,56,99,164,56,6,0,70.367,95,21.54,57.51,293.6,4.55,66.11,3821.583,29.44,59.02,0.283,0.705,0.988,0,"0","0",324,"0"
"133",2006,146,30,301,146,3,0,70.946,96,20.44,56.39,295.4,4.63,65.89,4369.917,29.75,56.92,0.11,0.541,0.478,0,"1","0",301,"1"
"134",2007,185,99,148,107,5,1,70.655,89,17.71,49.54,299.8,4.62,63.37,3532.75,29.67,55.38,0.338,0.03,0.368,0,"0","0",308,"1"
"135",2011,56,19,288,39,7,0,69.66,108,20.33,57.51,297.3,4.56,68.91,4276.417,29.31,63.92,0.38,0.86,1.239,0,"1","1",288,"1"
"136",2010,63,27,287,6,5,1,70.254,85,27.78,61.59,298.2,4.57,66.53,3844.167,28.73,60.6,0.104,0.889,0.995,13.723,"1","0",287,"0"
"137",2014,70,9,280,35,5,0,70.464,93,20.8,58.69,299.2,4.7,67.08,3662.583,28.97,59.53,0.266,0.691,0.956,31.2,"1","1",280,"1"
"138",2015,58,29,295,39,7,1,70.613,97,22.05,58.01,298.9,4.62,66.19,4386.833,28.83,58.74,0.065,0.269,0.335,16.111,"1","0",295,"1"
"139",2016,52,22,290,108,1,1,70.658,91,21.84,54.8,298.2,4.67,64.58,3687.417,29.17,57.75,-0.036,0.598,0.562,55.322,"1","1",290,"1"
"140",2017,28,12,282,19,7,0,70.351,112,21.22,57.72,298.3,4.58,66.13,4842.75,29,56.78,-0.059,0.839,0.78,18.275,"1","1",282,"1"
