"","year","wgr","masters_finish","total_score","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_putt","sg_t2g","sg_total","points_gained","m_cut","top_25","new_score","m_play"
"223",2013,14,99,150,125,4,1,70.503,53,15.44,68.51,277.5,4.75,62.7,1945.75,29.04,61.09,0.136,0.407,0.543,39.987,"0","0",310,"1"
"224",2014,29,52,294,17,8,0,69.642,66,22.93,69.2,278,4.63,65.77,2253.333,28.56,60.47,0.882,0.289,1.171,9.441,"1","0",294,"1"
"225",2013,36,99,150,24,4,1,70.438,95,22.34,58.65,295.2,4.63,66.02,4173.667,28.95,56.11,0.477,0.136,0.613,55.751,"0","0",310,"0"
"226",2015,70,42,299,45,3,0,70.235,105,19.11,58.51,298.4,4.61,67.05,4563.167,28.83,61.65,0.56,0.217,0.777,36.33,"1","0",299,"1"
"227",2011,90,99,151,165,1,1,70.891,58,18.37,51.49,301.8,4.69,62.45,2308.833,29.43,54.08,-0.386,0.121,-0.266,28.429,"0","0",311,"0"
"228",2007,94,33,293,14,6,0,69.948,101,16.13,73.28,279.6,4.64,66.45,3905.583,28.82,61.48,0.22,0.659,0.879,9.235,"1","0",293,"0"
"229",2009,81,18,287,81,4,1,70.612,95,15.12,71.99,287,4.71,67.58,3858,29.42,58.38,-0.426,0.523,0.097,11.737,"1","1",287,"1"
"230",2010,66,99,148,106,5,1,70.673,97,18.94,72.42,278.9,4.72,69.59,3158.083,29.62,62.87,-0.259,0.837,0.58,9.273,"0","0",308,"1"
"231",2007,13,17,290,168,2,1,70.935,52,18.49,56.97,296.3,4.88,61.23,2020.75,29.33,53.27,0.3,-0.012,0.288,92.145,"1","1",290,"0"
"232",2012,42,18,288,48,1,0,70.239,51,18.75,64.13,289.5,4.59,65.37,2367.083,29.3,59.04,0.105,0.809,0.915,49.684,"1","1",288,"1"
"233",2013,3,14,289,5,8,2,69.248,65,22.08,70.09,290.9,4.57,71.96,1939.917,29.91,57.28,0.004,1.614,1.618,25.191,"1","1",289,"1"
"234",2014,2,19,284,29,3,0,70.166,56,23.23,68.78,293.2,4.57,69.03,1872.083,29.89,51.83,-0.17,1.162,0.992,80.583,"1","1",284,"1"
"235",2015,7,24,294,10,8,0,69.354,63,18.12,69.91,296.4,4.62,73.52,2191.667,29.87,62.24,0.436,1.774,2.21,56.397,"1","1",294,"1"
"236",2014,16,5,277,25,4,1,70.083,82,18.64,61.52,294.8,4.55,64.03,3249.583,28.88,60.42,-0.393,1.545,1.152,57.441,"1","1",277,"0"
"237",2015,14,7,288,4,9,0,69.94,95,18.98,65.25,294.5,4.6,69.2,3136.333,28.79,61.92,0.076,1.388,1.464,78.662,"1","1",288,"1"
"238",2016,4,11,287,11,8,1,70.034,76,22.87,62.04,294.5,4.59,68.11,2680.25,28.82,60.86,-0.025,1.315,1.29,97.631,"1","1",287,"1"
"239",2017,6,19,285,4,7,3,69.624,83,23.63,57.61,302.9,4.48,69.14,2684.917,28.96,61.25,-0.41,1.469,1.058,22.642,"1","1",285,"1"
"240",2016,75,99,153,10,1,0,70.875,104,25.09,61.43,306.9,4.61,68.8,4879.583,29.48,54.97,0.203,0.1,0.302,66.637,"0","0",313,"0"
"241",2007,32,99,149,8,6,1,69.99,91,16.54,68.05,296.7,4.63,66.91,4223.167,29.51,54.8,0.213,0.419,0.632,36.533,"0","0",309,"0"
"242",2008,53,10,281,33,5,0,70.171,87,17.41,66.02,289.9,4.68,69.61,3884.25,30.14,53.55,0.341,0.665,1.006,20.331,"1","1",281,"1"
"243",2009,21,8,281,4,6,0,69.691,94,22.67,65.19,297,4.62,68.36,4220.5,29.1,58.02,0.41,0.845,1.255,66.041,"1","1",281,"1"
"244",2010,18,99,146,36,3,2,70.476,85,17.39,67.94,291.8,4.66,68.65,3864.75,29.6,58.65,0.068,0.596,0.665,61.674,"0","0",306,"1"
"245",2011,4,12,286,4,9,0,69.905,92,24.79,62.85,291.6,4.58,68.79,3615.917,29.21,58,0.527,0.691,1.218,147.136,"1","1",286,"1"
"246",2012,21,99,158,54,5,2,70.346,88,19.82,67.74,293.1,4.75,68.97,3560.333,29.9,53.71,-0.109,0.65,0.541,74.713,"0","0",318,"1"
"247",2013,32,26,292,38,5,0,70.106,91,21.52,66.61,290,4.63,67.58,3401.5,29.41,58.87,0.382,0.752,1.134,44.027,"1","0",292,"1"
"248",2014,32,9,280,46,6,1,70.574,88,18.44,65.1,295.8,4.69,66.67,3815.167,29.33,54.71,0.207,0.314,0.52,9.525,"1","1",280,"1"
"249",2015,99,54,302,101,4,0,71.124,88,24.67,58.91,295.1,4.67,65.79,3869,28.98,59.6,0.39,-0.27,0.12,1.593,"1","0",302,"1"
"250",2006,29,13,296,50,4,0,70.208,53,25.38,70.19,287.9,4.65,66.03,2116.583,29.06,60.38,0.194,1.009,1.203,23.15,"1","1",296,"0"
"251",2007,25,25,292,134,5,0,70.073,63,14.97,63.23,282.5,4.68,61.67,1987.667,28.88,59.42,-0.038,0.958,0.92,15.295,"1","1",292,"1"
"252",2008,38,20,286,149,1,0,70.269,51,15.72,59.77,283.6,4.77,59.75,1807.5,28.8,56.34,0.518,-0.138,0.38,17.878,"1","1",286,"1"
"253",2009,8,10,283,109,5,0,70.101,59,18.37,65.18,282.8,4.69,61.01,1943.5,28.18,65.14,0.094,1.112,1.206,111.573,"1","1",283,"1"
"254",2010,16,27,287,175,2,1,71.211,55,17.27,62.72,286.8,4.76,62.47,1762.333,28.9,59.82,0.213,-0.542,-0.335,22.469,"1","0",287,"1"
"255",2011,24,7,283,75,1,0,70.824,52,19.73,64.76,282.8,4.71,65.58,1725.75,29.06,56.33,0.27,-0.032,0.238,25.852,"1","1",283,"1"
"256",2012,12,99,151,68,4,1,70.176,57,21.48,65.13,285,4.68,61.61,2120.167,28.39,64.34,0.103,0.461,0.564,36.015,"0","0",311,"1"
"257",2013,19,20,290,106,4,0,70.382,59,20.14,62.42,281.7,4.73,63.52,1762.333,28.83,61.49,0.177,0.337,0.514,8.346,"1","1",290,"1"
"258",2014,31,6,279,75,2,0,70.722,57,20.24,61.35,288.1,4.64,62.4,2052.417,28.64,58.05,0.067,-0.106,-0.038,29.89,"1","1",279,"1"
"259",2015,62,49,300,61,4,0,70.421,68,20.57,63.58,286.7,4.67,65.71,2340.583,28.81,60.76,0.225,0.329,0.554,16.574,"1","0",300,"1"
"260",2017,29,44,292,87,2,0,70.045,72,20.13,62.55,283.5,4.64,64.46,2438.167,28.44,67.36,0.025,0.911,0.936,71.527,"1","0",292,"1"
"261",2007,57,25,292,84,3,0,71.377,71,17.96,58.7,312.6,4.69,64.57,4027.417,29.77,51.82,-0.559,0.223,-0.336,79.109,"1","1",292,"0"
"262",2014,20,99,147,93,2,1,70.721,86,21.69,54.71,308,4.73,60.92,4230.583,28.35,58.51,-0.075,0.476,0.401,77.941,"0","0",307,"1"
"263",2015,23,4,287,31,7,1,70.581,89,26.77,54.05,309.9,4.59,63.66,3442.25,28.32,59.35,-0.004,0.949,0.944,38.953,"1","1",287,"1"
"264",2016,40,50,299,43,6,0,70.523,77,22.87,51.68,314.5,4.68,65.17,3414.833,28.84,56.68,-0.153,0.634,0.481,19.603,"1","0",299,"1"
"265",2006,70,37,302,79,5,1,70.528,96,22.99,60.03,295.9,4.63,68.16,3891.333,29.69,54.78,0.196,0.632,0.722,0,"1","0",302,"0"
"266",2014,91,99,147,142,2,0,71.186,82,19.84,60.83,289.6,4.7,63.96,3903.75,29.65,55.11,-0.306,0.07,-0.236,62.883,"0","0",307,"0"
"267",2016,80,48,298,158,3,1,71.245,85,19.62,60.71,290.9,4.74,64.58,3668.667,29.47,55.72,-0.245,0.001,-0.244,11.773,"1","0",298,"1"
"268",2015,55,21,293,119,2,0,71.102,50,18.38,60.09,294.9,4.57,63.83,1768.417,28.96,59.48,0.349,-0.008,0.341,11.359,"1","1",293,"0"
"269",2005,91,39,295,32,3,1,70.475,91,17.23,62.13,292.9,4.62,66.06,4044.083,28.96,58.99,0.027,0.643,0.67,0,"1","0",295,"0"
"270",2010,169,99,148,87,2,1,70.856,84,18.41,66.89,279.8,4.69,67.79,3553.75,29.25,57.49,0.13,0.303,0.43,5.086,"0","0",308,"1"
"271",2010,38,2,276,45,5,1,70.274,82,23.18,57.78,298.2,4.68,67.68,3478.167,29.15,60.38,-0.009,0.752,0.738,22.045,"1","1",276,"0"
"272",2011,11,99,76,9,10,0,69.706,76,19.89,54.7,302.6,4.57,64.92,2908.417,28.37,64.64,0.576,0.4,0.976,36.663,"0","0",236,"1"
"273",2012,39,3,281,47,4,0,70.152,57,21.79,52.48,308.6,4.67,61.31,2429.583,28.42,61.36,0.526,0.498,1.024,50.251,"1","1",281,"1"
"274",2013,4,20,290,14,7,0,69.732,86,15.12,58.03,299.3,4.6,64.93,2878.5,28.63,61.39,0.37,0.606,0.976,90.096,"1","1",290,"1"
"275",2014,5,28,287,62,6,1,69.626,54,15.79,58.72,301.2,4.59,64,1495.167,28.71,64.95,0.317,1.073,1.389,88.609,"1","0",287,"1"
"276",2015,1,10,289,1,11,5,69.161,75,34.44,55.94,313.7,4.55,70.83,2701.917,28.44,65.34,0.586,1.52,2.106,150.227,"1","1",289,"1"
"277",2016,3,22,290,1,10,3,69.313,76,26.99,50.46,304.2,4.51,67.23,2493.833,28.06,61.92,1.13,0.987,2.118,21.053,"1","1",290,"1"
"278",2017,11,20,286,14,5,0,70.115,71,16.67,53.73,306.3,4.59,63.98,2585.917,28.22,59.04,0.345,0.765,1.109,80.428,"1","1",286,"1"
"279",2009,72,30,291,67,6,0,70.307,90,22.69,67.28,286.2,4.67,66.93,3604.667,28.98,60.74,-0.028,0.652,0.624,14.32,"1","0",291,"0"
"280",2011,31,24,289,37,6,0,70.2,78,18.18,65.81,286.8,4.66,66.95,2828.667,29.44,58.62,-0.116,0.833,0.717,31.094,"1","1",289,"1"
"281",2012,18,20,289,3,8,2,69.456,83,22.92,66.9,292.4,4.61,69.17,2560.833,29.07,62.42,0.153,1.293,1.446,29.422,"1","1",289,"1"
"282",2013,16,99,154,47,5,1,69.912,78,20.93,64.81,285.9,4.73,67.53,2746.167,29.4,59.11,-0.231,0.812,0.581,35.988,"0","0",314,"1"
"283",2014,52,49,292,51,4,0,70.9,57,18.97,63.76,285.3,4.61,66.26,1990.75,29.67,52.74,-0.576,1.098,0.522,8.855,"1","0",292,"1"
"284",2015,61,99,153,62,2,0,70.633,76,22.83,67.81,286.7,4.66,69.03,2050,29.6,55.28,-0.7,0.922,0.222,61.536,"0","0",313,"1"
"285",2016,66,33,293,37,6,1,70.212,105,17.22,62.83,293.2,4.64,70.15,3617.417,29.59,56.39,-0.353,0.84,0.488,26.976,"1","0",293,"1"
"286",2017,49,99,150,27,2,1,70.259,89,18.41,63.3,294.5,4.7,67.15,3431.917,29.21,57.72,0.053,0.682,0.734,20.756,"0","0",310,"1"
"287",2010,57,44,291,25,6,0,70.497,89,21.61,55.44,297.3,4.72,66.86,3631.417,29.04,56.8,0.409,0.222,0.63,17.448,"1","0",291,"0"
"288",2006,147,49,305,101,4,0,70.852,101,14.84,64.81,279.8,4.72,65.24,4224.417,29.05,58.86,0.138,0.382,0.484,0,"1","0",305,"0"
"289",2006,105,5,292,43,5,0,70.853,100,19.47,70.26,278.1,4.67,67.11,3791.5,29.17,60.98,0.01,0.468,0.476,0,"1","1",292,"0"
"290",2007,56,99,149,120,7,0,70.313,101,18.67,68.28,281,4.65,64.83,3574.167,29.34,58.14,-0.227,0.848,0.621,39.293,"0","0",309,"1"
"291",2009,83,12,285,37,6,1,70.119,90,22.55,64.8,284.7,4.58,64.63,3518.417,28.57,61.3,0.327,0.453,0.78,17.769,"1","1",285,"1"
"292",2010,107,99,147,97,1,0,70.954,99,22.14,70.5,279,4.67,67.49,3559.667,29.63,57.91,-0.444,0.658,0.209,30.818,"0","0",307,"1"
"293",2016,57,99,154,49,5,1,70.903,97,24.03,56.57,304.4,4.6,69.71,4496.75,29.68,58.97,0.098,0.505,0.604,34.846,"0","0",314,"0"
"294",2017,54,38,291,145,4,1,71.054,95,20.45,57.28,300.8,4.62,65.91,3703.5,29.58,58.15,-0.381,0.555,0.174,20.252,"1","0",291,"1"
"295",2005,7,22,291,3,10,1,69.274,94,21.18,68.07,280,4.62,69.77,2979.083,28.99,63.44,0.347,1.5,1.846,64.48,"1","1",291,"0"
"296",2006,2,13,296,15,13,2,68.865,89,25.6,73.85,281.9,4.61,70.71,2622.167,28.85,64.66,0.743,1.805,2.508,56.6,"1","1",296,"1"
"297",2007,5,33,293,22,8,1,69.474,84,21.39,74.37,279.7,4.62,69.44,2380.167,29.48,60.53,-0.083,1.202,1.119,55.655,"1","0",293,"1"
"298",2008,15,10,281,41,9,0,69.694,95,18.75,69.37,280.4,4.63,66.78,3408.667,29.43,60.32,0.405,0.881,1.287,43.729,"1","1",281,"1"
"299",2009,5,99,156,25,11,0,69.477,86,18.97,69.66,279.9,4.68,65.53,2683.667,28.24,64.08,0.715,0.975,1.69,77.184,"0","0",316,"1"
"300",2010,11,24,286,74,7,3,69.828,76,22.54,71.01,276,4.7,67.12,2393,28.74,63.47,0.402,1.159,1.564,26.57,"1","1",286,"1"
"301",2011,50,11,285,56,4,0,70.37,87,17.43,68,281.4,4.65,67.57,2877.167,29.45,58.37,-0.16,0.816,0.655,42.603,"1","1",285,"1"
"302",2012,26,25,290,33,8,0,69.304,85,22.35,70.71,280,4.65,68.19,2628.75,29.05,63.83,0.423,1.329,1.752,22.233,"1","1",290,"1"
"303",2013,23,14,289,32,7,0,69.828,80,18.32,70.47,275.3,4.7,68.3,2327.917,29.31,59.55,0.092,1.297,1.389,28.564,"1","1",289,"1"
"304",2014,9,99,147,52,11,0,69.2,84,22.78,73.18,279.3,4.63,68.75,2304.583,28.96,69.33,0.091,1.705,1.796,21.811,"0","0",307,"1"
"305",2016,59,99,151,110,3,0,70.13,52,15.04,69.09,280.8,4.7,68.27,1882.167,29.71,57.24,0.067,0.463,0.53,7.821,"0","0",311,"1"
"306",2015,191,99,153,67,2,0,70.719,88,21.7,67.1,293.8,4.65,73.23,3425.083,30.22,58.02,-0.03,0.407,0.376,5.446,"0","0",313,"0"
"307",2013,26,8,288,22,5,0,70.332,84,18.26,52.18,298.5,4.63,66.07,3686.083,28.87,60.62,0.276,0.654,0.93,102.989,"1","1",288,"0"
"308",2014,10,38,289,24,10,3,69.789,98,23.14,51.67,301,4.62,67.59,3826.083,28.73,58.39,0.479,0.774,1.253,141.152,"1","0",289,"1"
"309",2015,24,29,295,35,6,2,70.268,89,23.32,52.23,301.6,4.56,66.09,3390.5,28.7,57.71,0.692,0.241,0.933,49.212,"1","0",295,"1"
"310",2016,24,18,289,48,5,1,70.393,85,21.54,48.31,301.3,4.55,63.96,3663.667,28.78,57.71,0.243,0.649,0.892,23.908,"1","1",289,"1"
"311",2017,97,20,286,114,1,0,71.155,68,17.14,55.97,295.7,4.7,63.75,2382.167,28.86,57.92,0.157,0.197,0.355,11.306,"1","1",286,"1"
"312",2006,37,99,155,42,7,1,70.773,101,16.91,78.43,289.1,4.62,69.75,5260.25,29.81,56,-0.401,0.991,0.476,8.96,"0","0",315,"0"
"313",2005,95,99,151,34,5,0,70.852,103,22.73,62.44,284.9,4.64,61.9,4552.667,28.47,58.47,0.174,-0.082,0.092,0,"0","0",311,"0"
"314",2005,48,99,153,117,2,0,71.516,78,19.47,49.35,310.1,4.69,62.79,3349.25,29.29,52.06,-0.324,-0.027,-0.351,6.54,"0","0",313,"0"
"315",2012,95,11,286,26,4,1,70.384,99,22.26,68.69,288.3,4.65,66.44,4475.25,29.15,55.52,0.167,0.397,0.564,11.172,"1","1",286,"0"
"316",2013,144,99,151,70,2,0,70.758,88,17.39,68.53,282,4.73,66.6,3661.833,29.64,59.36,-0.227,0.525,0.298,2.128,"0","0",311,"1"
"317",2008,124,6,280,52,4,0,70.546,98,17.38,65.23,299,4.63,67.72,3841.583,29.96,54.49,-0.418,0.399,-0.019,25.904,"1","1",280,"0"
"318",2009,184,99,149,99,4,0,70.936,91,18.25,61.47,296.9,4.73,64.93,3747.833,29.16,54.58,-0.016,-0.248,-0.264,6.031,"0","0",309,"1"
"319",2012,80,99,151,71,2,0,70.701,83,26.22,64.46,293.3,4.64,69.13,3758.333,30.01,54.9,-0.193,0.385,0.191,64.668,"0","0",311,"1"
"320",2006,46,20,298,34,4,1,71.113,93,20.28,64.22,295.5,4.55,66.12,4137.833,29.15,52.97,0.102,0.248,0.25,89.95,"1","1",298,"0"
"321",2007,84,99,150,40,4,0,70.419,102,15.31,64.81,290.4,4.67,63.64,4679,28.97,59,0.104,0.413,0.517,14.777,"0","0",310,"1"
"322",2009,93,99,151,77,4,1,71.243,92,19.26,65.85,296.5,4.68,64.2,4830.833,29.03,58.2,-0.001,0.012,0.011,18.49,"0","0",311,"1"
"323",2007,49,99,151,59,5,0,70.566,97,20.07,65.91,294.2,4.61,70.33,3881.833,30.24,56.56,-0.25,0.778,0.528,34.244,"0","0",311,"0"
"324",2009,74,99,148,11,7,0,70.057,100,14.62,64.83,294.2,4.54,70.89,4067.917,29.83,56.87,0.038,1.021,1.06,17.626,"0","0",308,"1"
"325",2011,29,99,150,37,3,0,70.199,94,18.11,66.82,293.3,4.65,70.86,4154.667,29.84,54.77,0.302,0.665,0.967,41.846,"0","0",310,"1"
"326",2012,48,35,291,13,5,0,70.05,81,22.89,65.93,291,4.62,68.59,3495.333,29.44,57.37,0.039,0.96,1,13.919,"1","0",291,"1"
"327",2013,58,8,288,152,0,0,70.97,79,21.1,60.57,289.3,4.65,65.95,3213.417,29.96,53.97,-0.138,0.216,0.078,58.33,"1","1",288,"1"
"328",2014,64,38,289,23,5,1,70.27,99,20.82,64.25,288.9,4.58,67.85,3980,29.17,60.21,0.476,0.328,0.805,6.829,"1","0",289,"1"
"329",2007,107,36,295,126,2,0,71.144,97,20.07,64.18,285.5,4.64,67.75,4855,29.79,53.11,-0.229,0.424,0.195,0,"1","0",295,"0"
"330",2011,61,99,153,133,1,1,70.654,81,18.14,67.35,282.2,4.71,67.17,3588.667,29.56,57.8,0.427,-0.37,0.057,90.224,"0","0",313,"1"
"331",2017,3,4,277,1,11,1,69.561,90,23.5,58.61,305.8,4.56,68.79,3041.583,28.81,63.74,0.283,1.588,1.871,90.799,"1","1",277,"0"
"332",2013,54,2,283,159,2,1,71.11,76,20.47,56.54,283.7,4.71,60.89,3354.833,28.39,61.5,0.312,-0.715,-0.403,14.472,"1","1",283,"0"
"333",2014,79,28,287,137,1,0,71.581,64,16.57,56.16,286.1,4.74,61.11,2381.333,28.77,58.76,0.303,-0.512,-0.209,2.37,"1","0",287,"1"
"334",2007,59,99,149,17,4,1,70.488,73,23.94,59.84,292,4.56,63.55,3299.333,28.47,58.46,0.296,0.213,0.51,20.949,"0","0",309,"0"
"335",2010,59,99,151,46,4,1,70.437,85,24.14,61.54,290.9,4.61,70,3044.167,29.54,61.66,0.029,0.491,0.524,67.58,"0","0",311,"1"
"336",2011,56,27,290,66,5,1,70.783,83,22.65,60.33,291.6,4.6,65.65,3151.833,28.9,57.2,0.116,0.354,0.469,27.495,"1","0",290,"1"
"337",2013,13,2,283,3,9,1,69.668,82,20.09,67.8,289.4,4.62,66.94,3169.333,28.68,61.07,0.182,1.291,1.473,74.249,"1","1",283,"0"
"338",2014,4,1,270,44,8,0,69.946,102,21.72,58.79,289.7,4.63,62.47,4148.083,27.86,62.39,0.399,0.581,0.98,117.463,"1","1",270,"1"
"339",2015,2,2,286,3,15,5,68.938,91,27.46,62.91,291.8,4.59,67.87,2900,27.82,65.03,0.571,1.583,2.154,99.404,"1","1",286,"1"
"340",2016,6,11,287,15,8,2,69.52,80,22.87,58.14,295.4,4.54,63.52,2727.667,27.82,63.93,0.758,0.811,1.569,110.247,"1","1",287,"1"
"341",2017,4,3,275,3,12,3,68.846,85,25.73,59.48,295,4.59,69.97,2767.333,28.34,61.75,0.339,1.649,1.988,51.017,"1","1",275,"1"
"342",2005,46,39,295,44,4,2,70.168,78,19.02,64.39,285.2,4.68,65.33,2622.75,28.87,59.19,-0.016,0.564,0.547,20.61,"1","0",295,"0"
"343",2007,34,20,291,93,5,1,70.527,95,18.22,70.05,282.7,4.76,64.8,3255.167,29.13,59.97,0.124,0.393,0.517,72.863,"1","1",291,"1"
"344",2008,26,99,148,10,8,1,69.772,101,16.8,67.72,281.4,4.64,66.61,2809.667,28.85,60.07,0.463,0.675,1.138,35.91,"0","0",308,"1"
"345",2009,66,99,150,12,6,0,70.094,95,26.87,68.81,283.5,4.61,67.03,3089.75,28.67,59.81,0.087,0.865,0.951,8.937,"0","0",310,"1"
"346",2006,34,5,292,20,5,0,70.401,98,21.31,64,291.4,4.63,67.89,3682.5,29,58.29,-0.021,0.746,0.697,33.86,"1","1",292,"0"
"347",2007,9,36,295,2,7,0,69.301,63,21.95,63.93,288.7,4.6,65.73,1857.5,28.93,59.89,0.061,0.816,0.878,16.748,"1","0",295,"1"
"348",2010,26,11,283,32,4,2,69.885,78,22.28,65.17,287.8,4.63,66.31,2883.333,28.64,63.85,0.243,0.952,1.195,55.219,"1","1",283,"1"
"349",2011,9,8,284,13,5,1,70.332,79,22.55,63.27,290.6,4.62,69.48,2927,29.64,57.92,0.047,0.937,0.984,106.17,"1","1",284,"1"
"350",2012,3,25,290,6,8,1,69.549,69,15.95,65.82,290.9,4.66,70.34,2189.167,29.41,61.98,-0.122,1.762,1.64,97.455,"1","1",290,"1"
"351",2013,6,14,289,6,7,1,69.225,62,22.82,63.57,296.6,4.6,68.89,1926.5,29.3,60.71,-0.188,1.912,1.723,15.378,"1","1",289,"1"
"352",2014,11,2,274,6,8,1,69.624,70,25.14,59.92,295.1,4.59,66.91,2211.333,28.85,61.23,-0.04,1.506,1.466,10.166,"1","1",274,"1"
"353",2015,8,10,289,5,8,1,69.744,69,22.78,63.87,303.5,4.54,70.54,2179.917,29.17,59.14,0.023,1.471,1.493,32.076,"1","1",289,"1"
"354",2016,14,2,279,8,5,0,70.148,65,19.05,57.9,303.9,4.59,67.92,2674.417,29.58,58.1,-0.197,1.325,1.128,71.475,"1","1",279,"1"
"355",2017,5,12,282,11,8,0,69.699,66,27.91,58.48,300.4,4.58,68.19,2512.5,29.15,59.44,-0.062,1.331,1.268,47.831,"1","1",282,"1"
"356",2015,33,39,298,7,7,0,70.105,106,21.79,58.24,303.2,4.49,68.92,4137.833,28.64,61.55,0.042,0.926,0.968,31.305,"1","0",298,"0"
"357",2016,7,22,290,39,7,1,70.571,99,21.25,53.94,301.3,4.59,65.63,3908.25,29.28,55.56,-0.185,0.506,0.32,121.058,"1","1",290,"1"
"358",2017,2,17,284,5,12,5,69.359,86,24,54.09,309.3,4.6,67.33,3002,28.29,60.54,0.308,1.417,1.724,137.745,"1","1",284,"1"
"359",2005,65,99,152,65,3,1,70.439,78,21.33,64.98,288.8,4.66,64.16,2791.083,28.99,58.17,0.183,0.416,0.599,0,"0","0",312,"0"
"360",2006,48,27,300,48,4,1,70.213,93,17.01,65.03,287,4.7,68.12,4070.417,29.51,58.9,0.255,0.624,0.849,0,"1","0",300,"1"
"361",2007,7,41,298,31,7,2,69.611,87,17.14,64.71,284.1,4.63,65.29,3170.167,28.84,62.34,0.518,0.874,1.392,91.107,"1","0",298,"1"
"362",2008,21,99,148,94,5,1,70.259,74,16.58,61.38,286.1,4.74,65.48,2408.75,29.27,57.24,0.491,0.394,0.885,30.564,"0","0",308,"1"
"363",2009,45,4,277,150,1,0,71.205,65,16,67.67,280.1,4.71,66.06,2297.417,29.63,56.01,-0.051,0.214,0.163,66.284,"1","1",277,"1"
"364",2010,44,8,280,20,4,0,70.099,82,19.5,65.99,283.1,4.65,68.52,2463.083,29.23,62.67,0.054,0.927,0.984,31.889,"1","1",280,"1"
"365",2011,23,99,153,70,8,1,69.993,77,24.14,61.99,285.6,4.67,65.93,2781.083,29.17,60.87,0.163,0.915,1.079,22.658,"0","0",313,"1"
"366",2012,83,46,293,133,2,0,70.886,71,17.62,64.08,282.3,4.67,63.57,2877.583,29.3,54.68,-0.344,0.599,0.255,15.511,"1","0",293,"1"
"367",2013,99,34,294,76,2,0,70.322,85,17.89,66.04,278.3,4.68,65.87,2789,29.12,62.98,0.337,0.508,0.845,29.022,"1","0",294,"1"
"368",2011,19,27,290,34,4,2,70.257,91,19.32,61.5,300.7,4.63,65.9,4457.583,29.26,56.18,0.007,0.272,0.279,77.958,"1","0",290,"0"
"369",2012,11,54,297,1,5,1,69.984,90,26.09,61.65,302.7,4.56,66.54,3765.25,28.88,57.55,0.33,0.791,1.122,72.5,"1","0",297,"1"
"370",2013,18,99,153,4,7,0,69.724,88,22.27,62.82,300.6,4.51,66.54,3543.25,28.94,60.88,0.25,1.153,1.403,53.311,"0","0",313,"1"
"371",2014,37,22,286,18,6,0,70.031,89,18.6,62.36,302.2,4.69,66.67,3287.833,28.88,62.31,0.254,0.74,0.994,23.404,"1","1",286,"1"
"372",2015,98,52,301,38,3,0,70.45,87,23.21,64.85,306.1,4.58,67.53,3396.667,29.49,58.25,-0.07,1.088,1.018,4.717,"1","0",301,"1"
"373",2008,110,35,288,44,5,0,70.38,116,18.35,62.27,284.9,4.69,64.8,5285.167,28.79,57.82,0.467,0.13,0.597,4.175,"1","0",288,"0"
"374",2013,129,99,151,134,2,1,71.025,87,19.4,69.28,275.1,4.76,63.09,3512.667,28.92,56.92,-0.026,-0.04,-0.065,7.305,"0","0",311,"1"
"375",2008,9,2,276,14,7,3,69.826,97,20.37,61.97,296,4.63,67.47,4712.333,29.25,57.57,0.082,0.995,1.076,96.978,"1","1",276,"0"
"376",2009,18,26,289,18,8,2,69.789,92,20.26,67.01,293.1,4.65,67.34,3576.417,29.12,63.18,0.268,0.938,1.206,14.82,"1","0",289,"1"
"377",2011,176,44,294,96,3,0,71.221,78,20,59,295.8,4.7,64.89,3378.417,29.03,58.46,-0.501,0.187,-0.314,7.734,"1","0",294,"0"
"378",2016,43,7,285,35,8,0,70.501,93,21.2,60.68,296.3,4.66,66.37,3876,29.04,59.15,-0.31,1.08,0.77,7.851,"1","1",285,"1"
"379",2017,39,99,153,72,5,1,70.779,95,21.74,57.61,304.7,4.61,65.05,3528.417,29.35,56.56,-0.361,0.82,0.459,38.335,"0","0",313,"1"
"380",2015,22,37,297,83,6,0,70.344,104,21.48,66.85,287.8,4.61,66.24,4496.833,28.72,62.66,0.24,0.389,0.628,24.457,"1","0",297,"0"
"381",2016,37,43,296,31,6,1,70.489,97,20.75,64.92,289,4.67,65.19,3897.417,28.64,56.88,0.667,-0.119,0.548,68.789,"1","0",296,"1"
"382",2017,25,28,288,62,8,1,70.294,105,22.35,67,288.7,4.64,66.43,3595.917,28.79,62.5,0.454,0.694,1.148,54.526,"1","0",288,"1"
"383",2009,50,99,150,28,9,0,70.128,91,20.44,63.41,282.7,4.59,64.24,3885.75,28.43,64.82,0.477,0.462,0.938,46.482,"0","0",310,"0"
"384",2010,62,99,147,56,4,0,70.314,94,20.91,66.46,278.6,4.66,65.89,3296.417,28.57,64.45,0.493,0.362,0.854,41.403,"0","0",307,"1"
"385",2011,64,12,286,72,6,1,70.432,84,17.6,57.66,279.8,4.58,61.04,3451.5,27.75,63.5,0.65,0.121,0.77,39.549,"1","1",286,"1"
"386",2012,94,59,301,82,6,0,70.634,80,20.37,65.91,281.5,4.72,62.03,3429.25,28.39,61.3,0.193,0.252,0.445,4.151,"1","0",301,"1"
"387",2014,22,12,282,19,6,0,69.996,94,19.74,64.32,280.3,4.57,64.72,3489.5,28.46,65.16,0.315,0.638,0.954,34.268,"1","1",282,"1"
