"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_putt","sg_t2g","masters_finish","total_score","sg_total","wgr"
"2408",2007,"Ted Purdy","111",1,0,71.36,102,19.54,64.31,294.1,4.65,67.23,4331,29.85,55.19,-0.37,0.2,NA,NA,-0.17,"115"
"2409",2008,"Ted Purdy","152",1,0,71.614,68,13.13,61.14,292.8,4.72,66.85,3019.167,30.21,56.22,-0.558,-0.032,NA,NA,-0.59,"297"
"2410",2009,"Ted Purdy","74",1,0,70.827,101,20.39,64.05,293.6,4.66,66.25,4538.583,29.35,55.4,0.077,-0.029,NA,NA,0.048,"61"
"2411",2010,"Ted Purdy","179",0,0,71.824,86,20.56,60.61,290.8,4.71,63.96,4438.5,29.61,52.44,-0.114,-0.784,NA,NA,-0.892,"286"
"2412",2016,"Thomas Aiken","114",0,0,71.326,70,23.16,72.36,290.5,4.67,70.2,2469.333,30.08,56.21,0.006,0.149,NA,NA,0.156,"201"
"2413",2005,"Thomas Levet","200",1,0,71.982,54,14.69,56.88,287.2,4.84,61.32,2261.583,30.19,51.49,-0.849,-0.383,"13","287",-1.233,"51"
"2414",2006,"Thomas Levet","178",0,0,71.848,53,14.84,64.01,286.9,4.74,65.9,2525.75,30.1,58.47,-0.703,-0.058,"99","149",-0.793,"126"
"2415",2005,"Tiger Woods","1",13,6,68.655,76,24.4,54.58,316.1,4.52,69.89,2937.5,28.7,62.09,0.659,1.742,"1","276",2.401,"2"
"2416",2006,"Tiger Woods","1",11,8,68.115,55,24.77,60.71,306.4,4.43,74.15,1432.917,29.38,62.81,0.461,2.982,"3","284",3.304,"1"
"2417",2007,"Tiger Woods","1",12,7,67.794,63,23.39,59.83,302.4,4.48,71.02,1838.417,28.93,61.02,0.712,2.38,"2","291",3.092,"1"
"2418",2009,"Tiger Woods","1",14,6,68.052,64,17.95,64.29,298.4,4.43,68.46,2081.083,28.44,68.18,0.877,2.311,"6","280",3.189,"1"
"2419",2012,"Tiger Woods","10",9,3,68.904,69,18.9,63.93,297.4,4.56,67.58,2218.5,28.91,63.17,0.339,1.971,"40","293",2.31,"7"
"2420",2013,"Tiger Woods","1",8,5,68.944,61,19.46,62.5,293.2,4.57,67.59,1916.167,28.85,60,0.426,1.637,"4","283",2.064,"1"
"2421",2018,"Tiger Woods","25",7,1,69.35,68,27.44,59.35,303.6,4.57,67.4,2415.833,28.49,64.16,0.266,1.33,"32","289",1.596,"103"
"2422",2005,"Tim Clark","9",6,0,70.067,92,24.5,65.77,283.8,4.56,64.24,3285,28.6,58.21,-0.177,0.848,"39","295",0.671,"28"
"2423",2006,"Tim Clark","69",4,0,70.577,80,18.81,67.27,276.7,4.61,65.96,2435.333,29.03,59.09,0.22,0.551,"2","283",0.679,"30"
"2424",2007,"Tim Clark","19",6,0,69.877,66,13.14,68.95,278.1,4.69,61.37,2397.5,27.88,63.6,0.695,0.293,"13","296",0.988,"39"
"2425",2008,"Tim Clark","46",3,0,70.311,90,18.25,64.98,281.1,4.74,63.61,3325.417,28.97,58.32,0.076,0.565,"99","152",0.641,"35"
"2426",2009,"Tim Clark","3",5,0,69.658,81,23.44,74.06,280.1,4.61,66.95,2320.667,28.53,62.93,0.276,0.985,"13","282",1.261,"37"
"2427",2010,"Tim Clark","38",7,1,70.246,88,18.32,73.72,272.2,4.71,66.73,2787.583,28.87,62.67,0.269,0.564,"99","148",0.832,"37"
"2428",2012,"Tim Clark","93",3,0,70.697,60,14.71,71.6,276.7,4.74,64.26,2470,29.33,58.03,-0.121,0.422,"99","154",0.301,"185"
"2429",2013,"Tim Clark","108",3,0,70.693,64,16.76,70.31,273.9,4.69,62.02,2078.333,28.89,60.19,0.058,0.086,"11","286",0.144,"58"
"2430",2014,"Tim Clark","67",3,1,70.738,75,16.75,74.02,272.2,4.77,64.3,2561.917,28.81,59.34,0.025,0.061,"99","157",0.086,"114"
"2431",2005,"Tim Herron","35",7,0,70.106,100,22.81,61.61,292.1,4.66,65.26,3632.25,28.56,61.71,0.45,0.797,"11","286",1.247,"47"
"2432",2006,"Tim Herron","144",2,1,71.269,82,14.02,58.28,294.8,4.71,62.62,3095.833,29.44,55.23,-0.579,0.47,"36","294",-0.144,"62"
"2433",2007,"Tim Herron","134",1,0,70.509,98,18.24,61.78,287.3,4.69,64.6,3943.75,29.43,56.43,0.092,0.362,"37","302",0.454,"88"
"2434",2008,"Tim Herron","91",3,0,70.579,97,22.06,61.1,293,4.74,62.25,4533.583,28.7,62.03,0.407,-0.083,NA,NA,0.324,"219"
"2435",2009,"Tim Herron","102",0,0,70.86,87,18.68,58.28,292.1,4.68,63.92,4452.417,28.75,59.65,-0.073,0.04,NA,NA,-0.033,"161"
