"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_putt","sg_t2g","masters_finish","total_score","sg_total","wgr"
"1",2005,"Aaron Baddeley","81",5,0,71.261,84,20.24,53.32,291.4,4.65,60.84,4368.667,28.09,58.82,0.575,-0.815,NA,NA,-0.24,"126"
"2",2006,"Aaron Baddeley","98",2,1,71.197,78,19.3,60.73,288.3,4.64,58.26,3928.25,27.96,59.37,0.595,-0.517,NA,NA,0.001,"198"
"3",2007,"Aaron Baddeley","44",7,1,70.088,83,18.07,60,291.9,4.56,60.35,3627.833,28.26,60.6,0.629,0.435,"52","307",1.064,"26"
"4",2008,"Aaron Baddeley","34",3,0,70.196,76,20.2,59.45,290.3,4.61,62.02,3466.333,28.38,58.52,0.762,0.123,"99","148",0.885,"18"
"5",2009,"Aaron Baddeley","111",2,0,71.153,66,17.17,56.48,287.8,4.67,59.57,3211.083,28.09,58.35,0.604,-0.755,"17","284",-0.151,"52"
"6",2010,"Aaron Baddeley","31",2,0,70.995,94,27.72,56.65,298.9,4.69,64.6,4551,28.57,57.1,0.509,-0.294,NA,NA,0.208,"197"
"7",2011,"Aaron Baddeley","24",5,1,70.23,77,26.15,55.67,296.2,4.59,65.48,3095.917,28.39,59.44,0.324,0.824,"47","293",1.148,"69"
"8",2012,"Aaron Baddeley","108",3,0,71.113,73,18.97,54.3,292,4.65,58.1,3159.833,28.07,59.85,0.604,-0.461,"40","293",0.143,"39"
"9",2013,"Aaron Baddeley","99",2,0,71.503,68,21.52,50.71,288.5,4.61,58,3457.167,27.8,57.72,0.661,-0.979,NA,NA,-0.319,"97"
"10",2014,"Aaron Baddeley","110",2,0,70.796,74,20.36,52.29,293.8,4.62,59.8,3448.083,28.15,60.27,0.872,-0.828,NA,NA,0.044,"209"
"11",2015,"Aaron Baddeley","77",1,0,71.218,76,21.08,50.29,294.1,4.57,62.46,3641.25,28.28,61,0.722,-0.945,NA,NA,-0.223,"241"
"12",2016,"Aaron Baddeley","54",5,1,70.888,93,24.24,55.42,291.7,4.64,63.11,3747.583,28.06,64.3,0.581,-0.347,NA,NA,0.234,"280"
"13",2017,"Aaron Baddeley","139",2,0,71.483,61,25.64,52.25,292.6,4.7,62.57,2464.083,28.49,59.9,0.044,-0.216,NA,NA,-0.172,"133"
"14",2018,"Aaron Baddeley","141",1,0,70.85,84,19.25,53.27,295.3,4.67,63.39,3521.417,28.85,61.09,-0.057,0.366,NA,NA,0.309,"225"
"15",2013,"Aaron Watkins","157",1,0,71.77,46,19.26,63.03,277.1,4.68,62.25,1745.917,28.75,59.53,0.402,-0.991,NA,NA,-0.589,"81"
"16",2018,"Aaron Wise","24",4,1,70.247,90,21.63,63.33,302.9,4.63,68.81,4348.917,29.15,56.28,0.238,0.464,NA,NA,0.703,"195"
"17",2016,"Abraham Ancer","181",0,0,72.137,51,20.38,65.42,276.4,4.8,61.81,1944.417,29.06,56.67,-0.421,-0.307,NA,NA,-0.727,"98"
"18",2018,"Abraham Ancer","78",5,0,70.659,98,17.7,63.64,296.1,4.63,66.49,4501.25,28.91,62.69,-0.056,0.376,NA,NA,0.32,"185"
"19",2015,"Adam Hadwin","85",3,0,71.021,95,20.88,65.43,288.2,4.68,66.55,4157,29.15,58.39,0.235,-0.051,NA,NA,0.183,"182"
"20",2016,"Adam Hadwin","17",2,0,70.719,93,25.4,63.62,290.1,4.66,66.07,4395.667,28.55,58.27,0.529,-0.003,NA,NA,0.526,"185"
"21",2017,"Adam Hadwin","40",5,1,70.583,98,18.07,62.85,290.7,4.66,64.89,4101.167,28.43,63.47,0.47,0.17,"36","294",0.64,"46"
"22",2018,"Adam Hadwin","128",3,0,70.75,92,19.31,65.6,289.4,4.7,68.04,3343.667,29.26,58.59,0.106,0.49,"24","287",0.596,"43"
"23",2018,"Adam Schenk","161",1,0,71.37,86,18.78,57.67,305.5,4.68,67.92,3995.083,29.95,54.55,0.13,-0.28,NA,NA,-0.15,"291"
"24",2005,"Adam Scott","81",6,0,70.198,72,23.35,57.4,300.1,4.6,67.24,2314.167,29.43,55.36,0.016,1.03,"33","294",1.047,"9"
"25",2006,"Adam Scott","3",10,1,68.946,70,19.35,62,301.1,4.61,69.12,2473.25,29.28,57.94,-0.13,2.23,"27","292",2.08,"11"
"26",2007,"Adam Scott","11",6,1,70.008,69,23.61,59.17,300.9,4.6,65.44,2730.75,29.34,52.01,0.129,1.105,"27","300",1.234,"3"
"27",2008,"Adam Scott","28",3,1,70.06,51,19.19,54.66,302.1,4.59,63.72,1606.167,29.73,53.44,-0.44,1.299,"25","292",0.859,"6"
"28",2009,"Adam Scott","173",1,0,71.72,53,22.04,58.77,294.9,4.63,62.82,2166.75,30.1,53.16,-0.881,0.22,"99","146",-0.66,"23"
"29",2010,"Adam Scott","13",4,1,70.468,70,21.94,62.93,294.4,4.67,69.61,2392.75,30.07,54.03,-0.746,1.609,"18","287",0.862,"51"
"30",2011,"Adam Scott","2",7,1,69.872,60,25,63.98,299.7,4.56,68.08,2356.333,29.39,59,-0.247,0.882,"2","276",0.635,"28"
"31",2012,"Adam Scott","23",5,0,69.533,59,22.42,59.61,304.6,4.57,66.57,2031.417,29.53,55.87,-0.138,1.302,"8","284",1.164,"13"
"32",2013,"Adam Scott","10",6,2,69.3,61,15,61.84,297.8,4.58,68.8,2046.417,29.52,56.38,-0.027,1.337,"1","279",1.31,"7"
"33",2014,"Adam Scott","1",10,1,69.205,68,20.73,61.51,303.5,4.48,68.79,2699.333,28.76,60.73,0.22,1.5,"14","289",1.72,"2"
"34",2015,"Adam Scott","26",3,0,70.456,51,20.74,60.69,311.6,4.58,69.62,1564,30.11,54.09,-0.396,0.601,"38","289",0.206,"6"
"35",2016,"Adam Scott","6",9,2,69.47,79,21.81,55.55,304.6,4.58,70.76,2263.667,29.5,59.5,-0.168,2.062,"42","299",1.894,"6"
"36",2017,"Adam Scott","36",4,0,69.996,58,23.72,55.99,306.1,4.67,66.87,2206.25,29.29,59.28,0.056,1.01,"9","286",1.066,"9"
"37",2018,"Adam Scott","45",3,0,70.42,78,17.12,62.51,304.6,4.64,70.66,2928.417,30.15,54.85,-0.285,1.064,"32","289",0.779,"60"
"38",2008,"Alejandro Cañizares","136",0,0,71.151,52,20.75,62.36,287.1,4.81,62.37,2252.25,28.77,56.71,0.1,-0.527,NA,NA,-0.426,"44"
"39",2006,"Alex Aragon","184",0,0,72.901,63,16.8,51.12,302.6,4.81,59.11,3440.583,29.2,50.78,-0.011,-1.275,NA,NA,-1.675,"34"
"40",2005,"Alex Cejka","167",0,0,71.258,84,23.72,67.23,286.6,4.73,65.29,3619.667,29.72,55.73,-0.599,0.853,NA,NA,0.254,"63"
"41",2006,"Alex Cejka","90",2,0,71.36,93,17.05,66.4,288.8,4.7,67.7,4064.5,29.46,54.82,-0.734,0.542,NA,NA,-0.311,"111"
"42",2007,"Alex Cejka","4",4,0,70.437,80,20.6,68.08,288.9,4.57,69.44,3244.833,29.33,62,-0.479,1.207,NA,NA,0.728,"31"
"43",2008,"Alex Cejka","189",4,0,71.096,75,20,65.42,282.7,4.78,63.12,3090.667,29.49,55.68,-0.444,0.434,NA,NA,-0.01,"201"
"44",2009,"Alex Cejka","83",3,0,70.98,82,19.58,69.8,281.2,4.63,66.52,3240.5,29.13,57.54,-0.322,0.555,NA,NA,0.233,"267"
"45",2010,"Alex Cejka","151",4,0,71.219,81,19.92,70.31,277.4,4.76,66.6,2897.417,29.7,56.42,-0.466,0.396,NA,NA,-0.073,"216"
"46",2011,"Alex Cejka","110",0,0,71.178,59,18.01,66.42,280.3,4.69,66.1,2031.667,29.25,56.94,-0.665,0.527,"35","288",-0.138,"178"
"47",2015,"Alex Cejka","125",1,1,71.117,94,19.33,63.78,283.3,4.67,65.7,3831.333,28.93,60.39,-0.232,0.015,NA,NA,-0.217,"165"
"48",2016,"Alex Cejka","20",4,0,70.675,71,20.13,65.89,281.5,4.57,67.99,2459.917,28.55,65.03,0.011,0.631,NA,NA,0.642,"139"
"49",2017,"Alex Cejka","172",1,0,71.461,85,17.16,67.19,282.1,4.73,66.45,2932.833,29.51,61.08,-0.359,-0.093,NA,NA,-0.452,"184"
"50",2018,"Alex Cejka","64",2,0,70.675,77,19.54,66.49,286.7,4.65,63.77,2939.583,28.52,64,0.009,0.302,NA,NA,0.312,"231"
"51",2018,"Alex Noren","96",3,0,69.973,67,15.03,61.73,299.2,4.56,64.91,2948.917,28.97,61.74,0.758,0.286,"99","153",1.044,"15"
"52",2010,"Alex Prugh","26",4,0,70.878,88,19.67,58.4,295.7,4.66,68.6,4126.417,29.47,55.35,0.202,-0.112,NA,NA,0.092,"183"
"53",2011,"Alex Prugh","164",0,0,71.904,82,17.52,57.35,298.6,4.69,65.95,4025.417,30.05,47.91,-0.582,-0.375,NA,NA,-0.958,"256"
"54",2015,"Alex Prugh","102",2,0,71.089,84,18.31,62.03,295.2,4.61,70.14,3714.75,30.04,53.02,-0.055,0.051,NA,NA,-0.004,"296"
"55",2011,"Alexandre Rocha","170",0,0,71.262,65,14.97,62.23,290.9,4.68,68.23,2552.667,30.54,55.21,-0.001,-0.374,NA,NA,-0.375,"24"
"56",2012,"Alexandre Rocha","184",2,0,72.039,62,20.11,63.47,284.6,4.77,66.87,2610.917,30.18,53.59,-0.232,-0.624,NA,NA,-0.856,"108"
"57",2013,"Alistair Presnell","162",0,0,71.951,59,19.89,58.01,284.6,4.68,62.28,2313,29.37,57.36,-0.02,-1.01,NA,NA,-1.03,"99"
"58",2007,"Anders Hansen","180",0,0,70.856,55,12.42,66.95,280.7,4.73,62.85,1847.833,29.78,55.13,-0.176,0.087,NA,NA,-0.089,"134"
"59",2011,"Andres Gonzales","155",0,0,71.634,60,19.17,61.49,293.1,4.76,64.42,2315.75,29.31,52.85,0.143,-0.795,NA,NA,-0.652,"110"
"60",2015,"Andres Gonzales","113",3,0,71.427,90,21.99,58.06,294.5,4.7,66.67,4005.667,28.99,55.62,0.177,-0.714,NA,NA,-0.537,"242"
"61",2016,"Andres Gonzales","152",1,0,71.681,80,19.07,54.55,294.7,4.67,66.17,3258.667,29.5,55.79,0.008,-0.469,NA,NA,-0.462,"77"
"62",2017,"Andres Gonzales","52",1,0,71.112,73,16.85,55.75,299.2,4.65,67.71,2599.917,29.06,61.85,0.023,-0.003,NA,NA,0.02,"277"
"63",2008,"Andres Romero","146",3,1,70.816,69,16.3,52.83,299.1,4.68,58.79,2951,28.49,57.75,0.008,-0.414,"8","287",-0.406,"40"
"64",2009,"Andres Romero","121",2,0,71.462,58,19.8,51.62,298.5,4.69,64.91,2633.833,29.37,51.11,-0.044,-0.247,"49","298",-0.291,"41"
"65",2010,"Andres Romero","113",2,0,70.986,73,20,55.05,296,4.74,65.07,3922.083,28.93,60.78,0.254,-0.118,NA,NA,0.136,"120"
"66",2011,"Andres Romero","35",4,0,70.495,77,20.33,57.8,294.7,4.65,63.41,3861.417,28.41,56.48,0.4,0.074,NA,NA,0.474,"217"
"67",2012,"Andres Romero","156",2,0,71.543,68,17.57,54.9,292,4.63,61.3,3224.25,29.22,55.98,-0.223,-0.187,NA,NA,-0.409,"165"
"68",2013,"Andres Romero","74",2,0,71.256,63,24.73,57.35,293.1,4.69,61.3,3205.167,28.58,57.91,0.117,-0.317,NA,NA,-0.2,"177"
"69",2014,"Andres Romero","72",1,0,70.852,81,22.18,54.79,294.6,4.7,60.53,4209.667,28.53,59.96,0.353,-0.207,NA,NA,0.145,"247"
"70",2015,"Andres Romero","143",2,0,71.427,69,19.35,52.67,295.3,4.69,61.7,3264.583,28.64,56.7,0.19,-0.563,NA,NA,-0.374,"54"
"71",2007,"Andrew Buckle","136",1,0,71.443,77,20.4,58.14,294.7,4.7,62.52,3647.333,29.23,57.71,0.161,-0.426,NA,NA,-0.265,"90"
"72",2016,"Andrew Landry","131",1,0,71.143,53,22.31,65.55,294.7,4.76,64.63,1750.167,28.96,61.86,0.654,-0.694,NA,NA,-0.04,"139"
"73",2018,"Andrew Landry","134",5,1,71.059,82,19.82,62.92,291.1,4.72,65.63,4053.083,28.96,56.97,-0.01,-0.029,NA,NA,-0.039,"120"
"74",2014,"Andrew Loupe","98",1,0,71.142,65,21.53,50,308,4.71,63.11,2964.333,28.79,55.56,0.35,-0.485,NA,NA,-0.136,"141"
"75",2016,"Andrew Loupe","66",4,0,71.423,75,21.26,45.56,309.3,4.58,63.41,4144.167,28.63,52.83,0.301,-0.416,NA,NA,-0.115,"187"
"76",2017,"Andrew Loupe","180",1,0,72.803,55,20.9,45.93,311.3,4.8,59.83,2882.333,29.63,50.27,-0.242,-1.175,NA,NA,-1.416,"260"
"77",2005,"Andrew Magee","170",2,0,71.819,82,17.49,56.76,289.9,4.7,61.11,4393.833,29.09,55.86,-0.332,-0.259,NA,NA,-0.591,"192"
"78",2010,"Andrew McLardy","183",0,0,72.217,52,22.36,61.43,289.9,4.81,65.97,2257.833,29.69,53.4,-0.172,-0.832,NA,NA,-1.005,"157"
"79",2015,"Andrew Putnam","175",0,0,72.278,68,18.35,54.98,278.7,4.77,59.9,2795.083,28.33,56.71,0.525,-1.43,NA,NA,-0.905,"24"
"80",2018,"Andrew Putnam","109",5,1,70.579,97,23.15,60.42,293.8,4.7,70.47,3762.75,29.36,61.52,0.052,0.42,NA,NA,0.472,"181"
"81",2013,"Andrew Svoboda","136",0,0,71.747,46,19.7,60.91,290.1,4.61,65.91,1956,29.7,52.96,0.067,-0.629,NA,NA,-0.562,"78"
"82",2014,"Andrew Svoboda","91",2,0,70.713,77,19.8,66.14,287.4,4.68,68.11,3542.083,29.7,59.05,-0.026,0.37,NA,NA,0.344,"254"
"83",2015,"Andrew Svoboda","172",1,0,72.119,80,21.38,59.32,287.1,4.72,63.6,4200,29.51,51.08,-0.026,-1.041,NA,NA,-1.067,"200"
"84",2018,"Andrew Yun","193",0,0,73.624,51,17.49,53.58,290.6,4.88,61.85,2039.833,30.2,44.01,-0.6,-1.336,NA,NA,-1.936,"85"
"85",2008,"Ángel Cabrera","181",1,0,71.083,55,21.84,51.11,300.2,4.66,62.64,2296.75,29.75,53.06,-0.26,0.223,NA,NA,-0.037,"17"
"86",2009,"Ángel Cabrera","112",3,1,70.175,55,18.02,51.46,304.1,4.7,62.35,2071.583,28.83,57.38,0.172,0.372,NA,NA,0.544,"40"
"87",2010,"Ángel Cabrera","144",2,0,70.919,64,22.56,54.49,304.5,4.67,65.78,2811.167,29.48,55.15,-0.148,0.4,NA,NA,0.249,"128"
"88",2011,"Ángel Cabrera","67",3,0,70.696,50,21.88,54.97,301.6,4.57,63.89,2153.667,29.07,52.17,0.509,-0.337,NA,NA,0.172,"161"
"89",2012,"Ángel Cabrera","148",0,0,71.581,54,17.39,57.02,299.7,4.66,63.33,2010.583,29.72,49.09,-0.217,-0.234,NA,NA,-0.451,"81"
"90",2013,"Ángel Cabrera","155",2,0,70.897,73,15.95,56.19,294,4.75,64.99,3238.917,29.73,55.43,0.069,-0.006,NA,NA,0.063,"3"
"91",2014,"Ángel Cabrera","88",1,1,70.675,69,22.27,58.4,303.7,4.67,64.98,3821.083,29.39,53.1,0.007,0.198,NA,NA,0.205,"11"
"92",2015,"Ángel Cabrera","159",0,0,71.734,53,22.47,55.9,299.7,4.6,64.88,2644.083,29.87,50.45,-0.572,-0.032,NA,NA,-0.604,"28"
"93",2016,"Ángel Cabrera","185",0,0,72.175,62,16,58.06,294.6,4.81,63.08,3131,29.66,55.1,-0.352,-0.708,NA,NA,-1.061,"173"
"94",2016,"Anirban Lahiri","141",1,0,71.139,72,20.28,56.31,291.7,4.74,62.88,2914.417,28.88,56.4,-0.02,0.088,"42","299",0.068,"50"
"95",2017,"Anirban Lahiri","32",3,0,70.799,72,22.97,59.82,297,4.61,63.43,3273.167,28.6,55.06,-0.336,0.149,NA,NA,-0.186,"79"
"96",2018,"Anirban Lahiri","136",4,0,70.66,82,15.68,60.09,294,4.7,64.7,3725.417,28.99,58.35,0.199,-0.095,NA,NA,0.104,"86"
"97",2007,"Anthony Kim","15",4,0,70.128,93,21.43,60.79,302.4,4.64,65.35,4150,29.19,58.1,-0.121,0.794,NA,NA,0.673,"185"
"98",2008,"Anthony Kim","2",8,2,69.279,81,21.78,58.34,300.9,4.55,65.78,3266.667,28.85,59.32,0.362,1.117,NA,NA,1.479,"63"
"99",2009,"Anthony Kim","34",3,0,70.507,76,18.5,53.65,299,4.58,62.69,3151.917,28.36,57.14,0.245,0.235,"20","286",0.479,"13"
"100",2011,"Anthony Kim","103",2,0,70.775,72,20.27,46.99,294.2,4.65,61.58,3088.417,28.59,58.45,0.239,-0.31,"99","146",-0.071,"41"
"101",2005,"Arjun Atwal","16",4,0,70.4,65,16.67,61.1,294.2,4.62,64.87,3819,28.4,54.74,0.657,0.27,NA,NA,0.927,"13"
"102",2006,"Arjun Atwal","80",1,0,71.501,97,18.21,63.24,287.7,4.7,64.04,4602.5,28.93,57.07,0.19,-0.459,NA,NA,-0.359,"137"
"103",2011,"Arjun Atwal","144",1,0,71.444,91,19.72,56.31,284.8,4.75,63.25,4592.5,28.79,55.65,0.044,-0.453,"99","151",-0.409,"129"
"104",2012,"Arjun Atwal","162",1,0,71.634,79,17.67,61.12,285.1,4.74,63.85,3491.5,29.23,55.37,-0.217,-0.443,NA,NA,-0.66,"2"
"105",2009,"Aron Price","152",1,0,71.329,89,18.22,63.82,279.6,4.71,65.71,4144.417,29.6,58.2,0.109,-0.676,NA,NA,-0.567,"23"
"106",2010,"Aron Price","21",3,0,70.856,70,25,67.23,284.6,4.65,70.49,2763.167,29.69,58.53,0.017,0.241,NA,NA,0.259,"10"
"107",2011,"Aron Price","86",0,0,70.729,58,27.71,70.29,282.6,4.68,67.09,2310,29.46,55.19,0.094,0.186,NA,NA,0.28,"1"
"108",2005,"Arron Oberholser","53",4,0,70.317,65,19.53,66.7,283.5,4.7,66.84,2680.917,29.3,59.31,0.149,0.315,NA,NA,0.464,"67"
"109",2006,"Arron Oberholser","39",4,1,69.858,82,20,62.53,285,4.58,69.27,2853.917,29.56,57.67,0.167,0.927,"14","288",0.988,"44"
"110",2007,"Arron Oberholser","127",5,0,69.807,69,19.39,61.7,285.5,4.74,62.25,2675.5,28.81,59.74,0.362,0.821,"58","310",1.183,"38"
"111",2018,"Austin Cook","44",3,1,70.469,107,20.51,66.76,292.3,4.67,66.51,4700.167,28.72,62.02,0.315,0.254,"99","154",0.569,"111"
"112",2005,"Bart Bryant","19",4,2,70.187,91,20.25,73,283.2,4.62,68.93,3987.5,29.53,56.58,0.298,0.772,NA,NA,1.07,"73"
"113",2006,"Bart Bryant","129",2,0,70.745,87,20.85,72.76,282.2,4.72,68.67,3216.25,30.06,55.46,-0.138,0.533,"99","149",0.433,"35"
"114",2007,"Bart Bryant","81",2,0,70.637,87,21.34,70.66,281.1,4.68,66.34,3818.75,29.24,58.93,0.198,0.44,"99","154",0.638,"35"
"115",2008,"Bart Bryant","117",2,0,70.205,81,18.3,73.87,279.5,4.73,64.88,2925.667,29.47,59.18,-0.004,0.693,NA,NA,0.689,"67"
"116",2009,"Bart Bryant","175",1,0,71.177,58,17.42,71.9,274.6,4.73,62.76,2660.917,29.24,55.25,-0.142,-0.365,NA,NA,-0.507,"101"
"117",2018,"Beau Hossler","23",5,0,70.574,104,22.9,60.47,300,4.63,67.95,5038.417,28.92,60,0.685,-0.101,NA,NA,0.584,"88"
"118",2005,"Ben Crane","11",6,1,69.7,78,23.92,56.63,293.1,4.62,62.39,3561,27.96,60.08,0.939,0,NA,NA,0.939,"146"
"119",2006,"Ben Crane","83",3,0,70.834,85,19.59,63.51,285.8,4.65,62.01,3328.667,28.46,56.49,0.849,-0.369,"99","149",0.613,"40"
"120",2008,"Ben Crane","12",4,0,70.155,86,18.55,67.64,287.8,4.64,65.76,3712.167,28.85,61.51,0.745,0.135,NA,NA,0.88,"139"
"121",2009,"Ben Crane","15",4,0,70.376,93,20.58,67.75,285,4.66,64.87,3615.583,28.49,62.07,0.431,0.344,NA,NA,0.775,"65"
"122",2010,"Ben Crane","2",5,1,70.234,85,23.81,71.13,282.3,4.67,68.22,3053.167,29.07,59.06,0.266,0.594,"24","288",0.862,"55"
"123",2011,"Ben Crane","85",4,1,70.434,76,16.75,67.06,284.9,4.73,66.36,3282.083,29.08,61.31,0.134,0.356,"99","148",0.49,"39"
"124",2012,"Ben Crane","14",4,0,70.708,73,23.22,64.36,286.8,4.59,64.81,3275,28.75,57.24,0.432,0.16,"17","287",0.591,"48"
"125",2013,"Ben Crane","114",2,0,70.864,62,13.92,60.94,281,4.67,63.98,2553.583,28.98,63.83,0.024,0.175,NA,NA,0.199,"90"
"126",2014,"Ben Crane","113",2,1,70.954,81,18.67,66.4,279,4.84,63.44,3894.417,28.78,59.1,0.138,-0.29,NA,NA,-0.152,"235"
"127",2015,"Ben Crane","177",0,0,71.975,62,16.57,67.49,271,4.74,63.22,2451.417,28.95,61.98,0.201,-0.759,"99","157",-0.558,"181"
"128",2016,"Ben Crane","118",1,0,70.908,80,18.54,63.18,280.3,4.69,63.6,3357.833,28.61,61.65,0.216,0.037,NA,NA,0.253,"26"
"129",2017,"Ben Crane","124",1,0,71.091,86,17.37,67.97,278.5,4.76,65.68,3364.25,29.13,59.02,-0.155,-0.068,NA,NA,-0.223,"6"
"130",2018,"Ben Crane","93",1,0,71.097,65,24.52,67.52,281.1,4.7,64.88,2397.667,28.69,63,0.332,-0.157,NA,NA,0.176,"36"
"131",2005,"Ben Curtis","197",2,0,72.393,65,12.33,63.41,280,4.88,61.88,2960.833,29.51,53.59,-0.101,-0.857,"99","152",-0.958,"153"
"132",2006,"Ben Curtis","180",2,2,71.192,86,14.46,66.61,278.8,4.72,65.25,3226.667,29.5,56.88,0.077,-0.144,"39","295",0.113,"174"
"133",2007,"Ben Curtis","194",2,0,71.582,80,12.32,67.37,277.1,4.78,60.56,3768.667,29.48,52.46,-0.188,-0.561,"99","156",-0.749,"62"
"134",2008,"Ben Curtis","47",5,0,69.981,80,17.33,67.2,284.7,4.7,63.45,2913.167,28.92,59.2,0.321,0.44,"99","150",0.761,"168"
"135",2009,"Ben Curtis","153",1,0,70.978,63,17.44,64.75,279.5,4.7,64.25,2667.583,29.24,58.65,0.766,-0.515,"35","288",0.251,"36"
"136",2010,"Ben Curtis","135",1,0,70.871,78,17.65,70.07,275.5,4.73,68.02,2719.083,29.6,59.69,0.229,0.004,"99","148",0.234,"73"
"137",2011,"Ben Curtis","135",0,0,70.839,66,18.13,71.91,276.7,4.73,65.82,2921,29.42,61.58,0.239,-0.049,NA,NA,0.19,"180"
"138",2012,"Ben Curtis","83",3,1,70.538,62,23.03,69.7,274.8,4.71,68.87,2214.5,29.36,58.46,0.505,0.401,NA,NA,0.906,"280"
"139",2013,"Ben Curtis","180",0,0,71.531,59,15.79,60.55,274.9,4.84,63.84,2162.583,29.67,54.99,0.211,-0.458,"99","151",-0.248,"105"
"140",2014,"Ben Curtis","164",1,0,71.354,77,16.89,64.8,279.5,4.74,62.63,3486.333,28.95,56.62,0.4,-0.616,NA,NA,-0.216,"45"
"141",2013,"Ben Kohles","140",1,0,71.488,75,18.22,67.78,279,4.72,65.26,3329.083,29.32,56.08,0.051,-0.509,NA,NA,-0.459,"171"
"142",2011,"Ben Martin","113",1,0,71.419,74,21.46,63.43,289.5,4.71,64.76,3958.167,29.34,52.93,0.406,-0.681,NA,NA,-0.275,"136"
"143",2014,"Ben Martin","34",3,0,70.732,80,20.59,64.34,291.7,4.71,66.04,3094.833,28.93,59.1,0.291,0.13,NA,NA,0.421,"154"
"144",2015,"Ben Martin","59",5,1,70.95,93,16.48,65.09,288.1,4.71,68.7,3602.917,29.64,54.04,0.127,0.153,"99","148",0.28,"67"
"145",2016,"Ben Martin","61",2,0,71.282,92,23.35,62.14,288.8,4.61,66.73,4487.333,29.26,54.84,0.14,-0.117,NA,NA,0.023,"91"
"146",2017,"Ben Martin","92",2,0,70.954,86,23.5,63.67,291.7,4.69,66.6,3642.333,29.25,58.53,-0.044,0.208,NA,NA,0.163,"224"
"147",2018,"Ben Martin","111",1,0,70.974,64,25.56,63.52,289.6,4.72,63.98,3424.833,28.58,58.8,0.118,-0.119,NA,NA,-0.001,"220"
"148",2018,"Ben Silverman","142",2,0,71.281,90,18.11,65.56,290.2,4.65,64.95,4389.5,28.74,57.36,0.238,-0.444,NA,NA,-0.206,"184"
"149",2005,"Bernhard Langer","104",3,0,70.506,67,20.2,57.55,289.1,4.66,65.01,2130.833,29.18,60.19,0.145,0.347,"20","289",0.492,"74"
"150",2006,"Bernhard Langer","119",1,0,71.126,77,22,62.41,285.8,4.63,65.66,3227.417,29.17,59.1,0.3,0.09,"99","153",0.308,"57"
"151",2005,"Bill Glasson","178",0,0,71.898,54,14.72,63.03,284,4.83,64.42,2281.083,29.33,55.26,-0.17,-0.661,NA,NA,-0.831,"167"
"152",2006,"Bill Haas","118",1,0,71.216,99,19.78,57.71,296.7,4.65,64.24,4547.667,29.04,59.55,-0.228,0.303,NA,NA,-0.087,"90"
"153",2007,"Bill Haas","32",3,0,70.653,93,19.7,62.93,302.7,4.56,65.98,5117.167,29.7,57.8,-0.018,0.426,NA,NA,0.408,"197"
"154",2008,"Bill Haas","16",2,0,70.638,99,15.64,59.95,296.7,4.62,68.07,4472.583,29.37,55.31,0.09,0.3,NA,NA,0.391,"199"
"155",2009,"Bill Haas","13",4,0,70.53,91,25.41,62.81,298.3,4.61,67.37,4394.417,29.17,59.49,0.036,0.42,NA,NA,0.455,"232"
"156",2010,"Bill Haas","19",4,2,70.308,87,17.04,64.17,293.3,4.59,69.92,3554.25,29.48,57.96,-0.065,0.985,"26","289",0.918,"86"
"157",2011,"Bill Haas","19",7,1,70.135,93,19.91,63.59,296.6,4.6,69.44,3823.5,29.53,58.3,0.165,0.752,"42","290",0.916,"46"
"158",2012,"Bill Haas","57",3,1,70.484,79,17.45,63.62,292.2,4.66,65.17,3220,29.33,60.74,0.103,0.564,"37","292",0.668,"17"
"159",2013,"Bill Haas","42",9,1,70.023,85,21,62.31,288.2,4.71,67.79,3229.917,29.27,62.01,0.266,0.999,"20","289",1.265,"30"
"160",2014,"Bill Haas","14",5,0,70.132,107,17.94,62.94,291.9,4.62,68.62,3822.833,29.33,60.37,0.147,0.943,"20","290",1.09,"31"
"161",2015,"Bill Haas","89",5,1,70.672,89,17.54,63.35,290.7,4.64,68.8,3229.083,29.58,61.9,-0.229,0.689,"12","282",0.46,"26"
"162",2016,"Bill Haas","92",6,0,70.444,86,19.02,62.34,289.6,4.69,67.14,2859.833,29.44,63.3,-0.174,0.693,"24","294",0.519,"29"
"163",2017,"Bill Haas","95",4,0,70.011,92,17.16,58.05,292.3,4.64,67.28,2934.833,29.09,63.1,0.005,0.759,"36","294",0.763,"39"
"164",2018,"Bill Haas","151",1,0,71.028,76,16.92,57.27,296.2,4.66,64.79,3558.75,29.23,60.34,-0.059,0.139,NA,NA,0.079,"76"
"165",2009,"Bill Lunde","73",2,0,70.623,83,21.33,64,292.4,4.71,67.01,3662.5,29.32,61.12,0,0.157,NA,NA,0.158,"156"
"166",2010,"Bill Lunde","162",3,1,71.688,79,20.81,60.71,288.9,4.74,65.85,3110.333,29.77,57.48,-0.012,-0.461,NA,NA,-0.466,"282"
"167",2011,"Bill Lunde","79",0,0,71.046,92,22.87,61.11,291.5,4.65,69.38,3586,29.77,56.7,0.003,0.057,NA,NA,0.06,"214"
"168",2012,"Bill Lunde","59",1,0,71.062,83,19.44,59.1,290.5,4.66,67.56,3085.917,29.45,58.68,-0.241,0.546,NA,NA,0.305,"281"
